author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/304298307/,Москва,sale,flat,13,24,1,42.9,24000000.0,Хорошевский,Хорошевское шоссе,25Ак1,Полежаевская,Династия
Sminex,developer,https://www.cian.ru/sale/flat/306155439/,Москва,sale,flat,2,23,1,56.0,59120000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/302615259/,Москва,sale,flat,7,9,2,65.0,38900000.0,Басманный, Земляной Вал,21/2С1,Курская,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/308536828/,Москва,sale,flat,14,28,2,67.0,30000000.0,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,КутузовGRAD II
MR Group,developer,https://www.cian.ru/sale/flat/308167123/,Москва,sale,flat,3,16,2,59.9,18661845.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301078527/,Москва,sale,flat,4,5,1,47.0,41600000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308354835/,Москва,sale,flat,3,8,1,25.9,9990000.0,Аэропорт,Большой Коптевский проезд,3С7,Красный Балтиец,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308943255/,Москва,sale,flat,2,9,1,27.4,10921092.0,Головинский,Северный ао,,Коптево,Михалковский ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303589233/,Москва,sale,flat,8,18,2,84.0,62750000.0,Тверской, Александра Невского,27,Белорусская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300321398/,Москва,sale,flat,7,7,2,83.6,37950000.0,Беговой,Ленинградский проспект,1,Белорусская,
Брусника,developer,https://www.cian.ru/sale/flat/306792349/,Москва,sale,flat,5,8,2,64.8,42140000.0,Даниловский,Дубининская ,вл59к2,,Дом А
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307143899/,Москва,sale,flat,25,49,2,93.6,39500000.0,Проспект Вернадского, Лобачевского,,Проспект Вернадского,Событие
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/304167790/,Москва,sale,flat,3,6,2,71.4,38500000.0,Даниловский,проспект Лихачева,18к3,Технопарк,Квартал на набережной NOW
Hutton Development,developer,https://www.cian.ru/sale/flat/305627360/,Москва,sale,flat,8,17,1,50.8,36423600.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/303542944/,Москва,sale,flat,10,79,2,62.0,47000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр,NEVA TOWERS
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/308515173/,Москва,sale,flat,7,9,1,40.6,10499000.0,Некрасовка, Недорубова,12,Некрасовка,Некрасовка
MR Group,developer,https://www.cian.ru/sale/flat/308752051/,Москва,sale,flat,10,21,2,59.9,,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/302463353/,Москва,sale,flat,51,56,2,139.0,114999999.0,Раменки,проспект Генерала Дорохова,вл1к3,Минская,Will Towers
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306867070/,Москва,sale,flat,16,36,1,41.1,31500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
FORMA,developer,https://www.cian.ru/sale/flat/305605376/,Москва,sale,flat,9,33,1,38.27,26322106.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/274593959/,Москва,sale,flat,3,5,2,44.3,47900000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302644494/,Москва,sale,flat,4,4,2,80.0,36500000.0,Марьина роща,проезд 12-й Марьиной рощи,8С3,Марьина Роща,Лофт-квартал Studio #12
Донстрой,developer,https://www.cian.ru/sale/flat/308319635/,Москва,sale,flat,6,50,1,49.3,24551400.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305290552/,Москва,sale,flat,8,18,2,84.0,62750000.0,Тверской, Александра Невского,27,Белорусская,
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/308768570/,Москва,sale,flat,14,48,1,42.0,24500000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Мангазея,developer,https://www.cian.ru/sale/flat/308903193/,Москва,sale,flat,6,41,1,36.7,22431040.0,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/308605031/,Москва,sale,flat,13,29,2,46.2,23800000.0,Нагатино-Садовники,Варшавское шоссе,37Ак2,Нагатинская,Rotterdam
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299577441/,Москва,sale,flat,2,27,2,70.0,31880000.0,Лефортово,проезд Невельского,6к3,Авиамоторная,Символ
Level Group,developer,https://www.cian.ru/sale/flat/308685236/,Москва,sale,flat,26,26,2,41.5,19133232.0,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301655618/,Москва,sale,flat,1,11,2,74.13,100000000.0,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305957125/,Москва,sale,flat,2,12,1,51.2,31300000.0,Сокол, Врубеля,4к1,Сокол,Врубеля 4
Центр-Инвест,developer,https://www.cian.ru/sale/flat/306675154/,Москва,sale,flat,7,9,2,69.9,69134455.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/305383571/,Москва,sale,flat,7,39,2,61.4,35950000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/306154714/,Москва,sale,flat,4,16,2,71.0,32900000.0,Можайский, Багрицкого,18,Кунцевская,Свой
ФСК,developer,https://www.cian.ru/sale/flat/307688647/,Москва,sale,flat,2,8,2,65.7,51377400.0,Хорошево-Мневники, Шеногина,,Хорошёво,Sydney Prime
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308413458/,Москва,sale,flat,4,13,2,68.9,95000000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/302610652/,Москва,sale,flat,14,21,2,57.0,30900000.0,Хорошево-Мневники,проспект Маршала Жукова,39к6,Народное Ополчение,Wellton park
Tekta Group,developer,https://www.cian.ru/sale/flat/306368174/,Москва,sale,flat,8,27,1,28.1,19363710.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307970936/,Москва,sale,flat,3,5,2,44.3,47900000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308852454/,Москва,sale,flat,9,12,1,39.0,13500000.0,Теплый Стан, Академика Бакулева,6,Тропарёво,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307195917/,Москва,sale,flat,4,26,2,55.5,19288526.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299341036/,Москва,sale,flat,10,34,1,64.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308550091/,Москва,sale,flat,8,23,2,31.9,17900000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Народное Ополчение,Sydney City
Forma,developer,https://www.cian.ru/sale/flat/308937779/,Москва,sale,flat,3,29,2,57.1,21560960.0,Печатники,,,Нагатинский Затон,Портлэнд ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305915966/,Москва,sale,flat,10,13,2,73.5,75000000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
Apsis Globe,developer,https://www.cian.ru/sale/flat/296193001/,Москва,sale,flat,6,9,1,37.04,10800000.0,Косино-Ухтомский, Николая Старостина,14,Реутов,МФК CITIMIX Новокосино
St Michael,developer,https://www.cian.ru/sale/flat/304242259/,Москва,sale,flat,3,16,2,30.97,,Хорошево-Мневники, Берзарина,,Серебряный Бор,Квартал Серебряный Бор
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308063057/,Москва,sale,flat,24,49,1,43.9,27800000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
ONE Company,real_estate_agent,https://www.cian.ru/sale/flat/308100205/,Москва,sale,flat,22,22,1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306694573/,Москва,sale,flat,14,19,1,39.6,23760000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/297894351/,Москва,sale,flat,6,7,2,95.0,130000000.0,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
Estes,real_estate_agent,https://www.cian.ru/sale/flat/308111518/,Москва,sale,flat,14,15,2,59.2,43500000.0,Нагатинский затон, Корабельная,15,Нагатинский Затон,Ривер Парк Коломенское
Capital Group,developer,https://www.cian.ru/sale/flat/298020354/,Москва,sale,flat,15,67,1,47.5,47500000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
ID 92974573,realtor,https://www.cian.ru/sale/flat/302200222/,Москва,sale,flat,4,5,2,43.6,11300000.0,Москворечье-Сабурово,Каширское шоссе,54к2А,Москворечье,
Prime,real_estate_agent,https://www.cian.ru/sale/flat/306015204/,Москва,sale,flat,1,5,2,58.8,24400000.0,Таганский,Таганская ,24С5,Марксистская,
Группа Родина,developer,https://www.cian.ru/sale/flat/305467903/,Москва,sale,flat,2,23,1,43.8,22126280.0,Ростокино,,к6,Ботанический сад,Союз ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303688290/,Москва,sale,flat,9,20,2,71.8,57000000.0,Пресненский,Мантулинская ,9к4,Москва-Сити,City Park
Аквилон,developer,https://www.cian.ru/sale/flat/304054307/,Москва,sale,flat,2,23,2,49.8,12231129.0,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
Capital Group,developer,https://www.cian.ru/sale/flat/307771820/,Москва,sale,flat,12,18,1,48.3,58149819.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306509264/,Москва,sale,flat,2,39,2,69.0,47000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/283946953/,Москва,sale,flat,4,6,1,31.4,28500000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Prime Life Development,developer,https://www.cian.ru/sale/flat/306733065/,Москва,sale,flat,2,28,2,58.18,26274768.0,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,Первый Нагатинский
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/308410137/,Москва,sale,flat,14,41,2,48.0,31500000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
